text,label,prediction,max_prob,prob_distribution
"I am a housewife in my 20s. Through early marriage and childbirth, I have built a happy home and welcomed an irreplaceable, adorable baby. However, at times, I feel despair due to the halt in my career development. While staying at home every day to prepare meals for the children, do laundry, and take care of my husband is certainly worthwhile, there are moments when I also feel the desire to pursue my own career. Sometimes, I feel envious when I see my friends' careers, and I worry that my husband might one day feel useless. While it is joyful to see the baby and participate in their growth process, sometimes watching the baby due to anxiety doesn't feel enjoyable. Sometimes, even when the baby is playful, I can't smile.",Depression,Happy,0.9039905071258545,"[0.09373518079519272, 0.002274321625009179, 0.9039905071258545]"
"Despite my successful career and the admiration of my colleagues, my personal life feels like it's crumbling around me. The recent fight with my husband and his decision to file for divorce has left me feeling like a failure, like I've lost control of the one aspect of my life that truly matters. While I excel at work and am seen as a role model, I can't shake the feeling of inadequacy and despair in my personal relationships. It's a stark contrast to the confidence and competence I exhibit in my professional life, and it's challenging to reconcile these conflicting emotions. As I contemplate separation, I'm grappling with the realization that success in one area doesn't guarantee happiness or fulfillment in another.",Depression,Happy,0.5762571096420288,"[0.41973501443862915, 0.004007911309599876, 0.5762571096420288]"
"Mom and Dad had another big fight about who gets to have me on the weekends. It made me feel really sad and scared. I wish they could stop fighting and just be happy like before. I don't like seeing them upset, and I miss how things used to be. I hope things get better soon. They loved each other and our family was happy. Santa Claus, please make my family happy.",Depression,Happy,0.6099907755851746,"[0.38730886578559875, 0.0027002866845577955, 0.6099907755851746]"
"Despite my professional success and recognition at work, I often feel overlooked and unappreciated at home. While my colleagues and juniors admire my achievements and seek to learn from me, within the walls of my own home, I sometimes feel like a mere provider rather than the respected head of the household. It's disheartening to sense that my children only approach me when they need something, rather than seeking my guidance or simply wanting to spend time together. Communication with my wife has dwindled over the years, and I long for the deep connection we once shared. Despite these feelings of loneliness and disconnection, the surprise birthday party my family threw for me last year moved me to tears and reminded me of the love that still exists within our family. It sparked a desire within me to prioritize spending more quality time with my loved ones and to work on strengthening our relationships. Beyond fulfilling my role as a provider, I yearn to build deeper emotional bonds with each member of my family, fostering a sense of closeness and understanding that transcends material wealth.",Neutral,Happy,0.9609163999557495,"[0.0369863286614418, 0.002097291639074683, 0.9609163999557495]"
"As a teenager with a passion for music and dreams of majoring in cello, I find myself torn between my aspirations and my relationship with my girlfriend. While I deeply appreciate her kindness and thoughtfulness, especially when she surprises me with homemade lunch boxes for our picnics, her occasional lack of support for my musical ambitions leaves me feeling conflicted. I cherish the loving moments we share, but I can't help but question whether it's healthy to pursue a deeper relationship when we don't see eye-to-eye on something as fundamental as my future career path. There's a part of me that longs for a partner who fully embraces and supports my dreams, yet I also recognize the value of her kindness and companionship. It's a complex mix of emotions, and I find myself grappling with the uncertainty of whether to prioritize my personal aspirations or the relationship itself. Ultimately, I know I need to have honest conversations with my girlfriend about my dreams and expectations for the future to determine if we're truly compatible in the long run.",Neutral,Happy,0.8613048791885376,"[0.13400466740131378, 0.004690449219197035, 0.8613048791885376]"
"I can't help but feel apprehensive about my daughter's new boyfriend, especially since my initial impression wasn't favorable. While I trust my daughter's judgment, her reluctance to share details about him leaves me feeling uneasy and concerned for her well-being. Despite my reservations, I believe that these concerns will likely be temporary, and I ultimately want my daughter to be happy and make wise choices in her relationships. It's challenging to navigate this situation without all the information, but I remain hopeful that my daughter will use good judgment and that any concerns will eventually be alleviated. In the meantime, I'll continue to offer my support and guidance as she navigates this new chapter in her life.",Neutral,Happy,0.947422444820404,"[0.0500824861228466, 0.002495084423571825, 0.947422444820404]"
"As someone eager to embark on a trip to Europe with my friends, I find myself feeling both excited and indecisive. While the prospect of exploring new destinations and creating unforgettable memories with my companions fills me with anticipation, I can't help but feel a sense of uncertainty about which country to visit. The sheer variety of options, each offering its own unique charm and attractions, leaves me torn between wanting to experience them all and feeling overwhelmed by the decision-making process. Despite the indecision, I'm eager to research and weigh the possibilities, ultimately confident that whatever destination we choose will offer an incredible adventure filled with laughter and discovery. In the meantime, I look forward to the journey of planning and anticipation with my friends.",Neutral,Happy,0.987380862236023,"[0.008616582490503788, 0.0040026162751019, 0.987380862236023]"
"I'm feeling conflicted about my child's desire for a dog as a birthday present. While I understand the joy and companionship a pet can bring, I'm also worried about the responsibilities and commitments that come with owning a dog. I'm torn between wanting to fulfill my child's wish and ensuring that we're ready for the responsibilities of pet ownership. It's a tough decision, and I'm grappling with feelings of uncertainty and concern for what's best for our family.",Neutral,Depression,0.5997325778007507,"[0.5997325778007507, 0.0061159818433225155, 0.3941514790058136]"
"In the latest entertainment industry news, there's been a buzz surrounding the release of several highly anticipated movies and TV shows. From blockbuster sequels to gripping dramas, audiences are eagerly awaiting new releases from major studios and streaming platforms alike. Additionally, there's been a surge in the popularity of virtual concerts and live streaming events, as performers find innovative ways to connect with fans amid ongoing restrictions on live gatherings. Moreover, the industry has seen a rise in diversity and inclusion efforts, with more representation of marginalized communities both in front of and behind the camera. Overall, the entertainment landscape continues to evolve, offering a diverse array of content to audiences worldwide.",Neutral,Happy,0.8128622770309448,"[0.0253716129809618, 0.16176609694957733, 0.8128622770309448]"
"As a parent, I often find myself reflecting on the importance of teaching my child about reasonable spending habits. It's crucial for their financial well-being and future success. One piece of advice I'd offer is to prioritize needs over wants, encouraging them to distinguish between essential purchases and unnecessary splurges. I'd also stress the value of budgeting and saving, teaching them to allocate their money wisely and plan for both short-term and long-term goals. Additionally, I'd emphasize the importance of researching purchases thoroughly to ensure they're getting the best value for their money. Lastly, I'd encourage them to embrace a minimalist mindset, focusing on quality over quantity and finding contentment in simplicity. By instilling these principles early on, I hope to empower my child to make informed and responsible financial decisions throughout their life.",Neutral,Happy,0.97699373960495,"[0.01308143325150013, 0.0099248131737113, 0.97699373960495]"
"Our new coffee recipe is a delightful blend of rich flavors and aromatic notes. Starting with freshly ground beans sourced from premium coffee regions, we carefully brew them to perfection using our signature method. This process ensures a bold and robust flavor profile with a smooth finish that coffee enthusiasts will love. To enhance the taste experience, we add a hint of vanilla and a dash of cinnamon, creating a subtle sweetness that complements the coffee's natural richness. Whether enjoyed hot or cold, our new coffee recipe promises to awaken the senses and elevate your coffee-drinking experience to new heights.",Neutral,Happy,0.9764209389686584,"[0.009797233156859875, 0.01378178782761097, 0.9764209389686584]"
"Discover the captivating world of penguins in South Africa! Home to colonies of African penguins, the coastal regions of South Africa offer a unique opportunity to witness these charismatic creatures up close. With their distinctive black and white plumage, these flightless birds are a sight to behold as they waddle along sandy beaches or dive gracefully into the ocean. Visitors to South Africa can embark on guided tours to observe penguins in their natural habitat, learning about their behavior and conservation efforts along the way. From Boulders Beach in Cape Town to Stony Point in Betty's Bay, there are plenty of locations to encounter these adorable animals. Whether you're a wildlife enthusiast or simply looking for a memorable experience, a visit to see penguins in South Africa is sure to leave a lasting impression!",Neutral,Happy,0.9876164793968201,"[0.005751641001552343, 0.006631819996982813, 0.9876164793968201]"
"Imagine a world where fantastical creatures roam the land, each more wondrous than the last. From the majestic winged unicorns soaring through the skies to the elusive mermaids swimming in the depths of the ocean, the realm of mythical animals is as diverse as it is enchanting. These creatures, though they may only exist in our imaginations, capture our hearts and inspire awe with their beauty and mystery. Through art, literature, and folklore, we bring these magical beings to life, allowing our creativity to run wild in a world where anything is possible.",Neutral,Happy,0.9483489990234375,"[0.018274366855621338, 0.033376555889844894, 0.9483489990234375]"
